epoch,best_val_epoch,train_loss,val_loss,train_recon_loss_post,val_recon_loss_post,train_kl_post_prior,val_kl_post_prior,train_recon_loss_encoded,val_recon_loss_encoded,train_kl_encoded_prior,val_kl_encoded_prior,l2_penalty
1,1,0.5439046644056282,0.47891614021921325,0.5413334344229945,0.47699490544753287,1.1273739638640194,1.0850858106669685,0.5409893632931759,0.4762670768089108,1.1286001504529553,1.0786764847220043,2540.738525390625
2,2,0.5378063257954183,0.47216413526356243,0.5343177897032376,0.4709340901300167,1.1945688290057683,1.1543706960091962,0.5338629244504671,0.469440122675825,1.1923703718807215,1.1499403449865733,2249.34228515625
3,3,0.5348778293053145,0.4692241947393782,0.5310820975855233,0.4667035826102558,1.188614327784231,1.1235226376003526,0.5307291840551864,0.46655547824690535,1.1925391591687113,1.1282429376101313,2001.3731689453125
4,3,0.5342850569023962,0.4703387531779842,0.5319768647624382,0.46820061371707683,1.1828965639253004,1.1804982462182454,0.5310677595513305,0.4668949621690793,1.1795776647376244,1.176932041461651,1796.0853271484375
5,5,0.5314702068790271,0.468145838043091,0.5297053593758685,0.4666932770508863,1.105386212017092,1.1033698858604681,0.5290292359854418,0.4662465599913094,1.10556715429261,1.1046400039316744,1628.77880859375
6,5,0.531338033964356,0.4683434138315238,0.5300439777298458,0.46910928034042054,1.1464927102300413,1.0848172252409514,0.5293060967887386,0.46805211949664866,1.1479555549078961,1.087017746273351,1491.0074462890625
7,7,0.5305676913760433,0.4672313755419647,0.525561936601997,0.46244091770879664,1.2387533005997005,1.2354410815340329,0.5244964364271743,0.46151234484290266,1.244389338384487,1.2442383164675053,1382.6693115234375
8,7,0.5293812435482851,0.46796894980496834,0.5257077140265112,0.4655816067956247,1.1974502757968313,1.1492975825056744,0.5254446346645801,0.46490418662147537,1.201222287463466,1.1551362275462869,1293.5443115234375
9,9,0.5276658660972362,0.4652627145386959,0.5252511044398552,0.4631484618484628,1.1405094764000818,1.10383473478201,0.524161761558695,0.4623008656518666,1.1423743361196619,1.1091503457546295,1212.1259765625
10,9,0.5264055071340338,0.4654800488060704,0.5208077438334102,0.4611563980848177,1.278315095332541,1.2447521835239166,0.5204597032891278,0.4599919550743872,1.2793257273171985,1.2514021303401506,1150.7760009765625
11,9,0.5294132341421094,0.4679005479454733,0.524544600141624,0.4629578043959556,1.2464435228601425,1.2474915866860408,0.5241293946926076,0.4618316697922276,1.2512440850629492,1.260288710431975,1105.8193359375
12,12,0.5274026412702827,0.46350097253816885,0.5210536664802073,0.4572079296103459,1.3165330889688363,1.295113720302191,0.5210647430267555,0.4571110022550329,1.3222745573221435,1.30762187191359,1052.136962890625
13,13,0.5243470255292357,0.46284673606715027,0.5188679675476691,0.4583823606074279,1.2740473492888607,1.233629670374757,0.518560709268311,0.45786712062050117,1.2770221428027722,1.2426034849246987,1009.6804809570312
14,14,0.5241651984292198,0.4614272582486431,0.5179506616668591,0.4562061086225995,1.2668064981132983,1.2384447688802034,0.5175966842110017,0.45590536030830914,1.275170580709756,1.2543646833390063,978.1015014648438
15,14,0.5272384197396287,0.46453030368836634,0.5206441287637369,0.46019820070438755,1.3856448187928707,1.319106597520076,0.5204812855925356,0.45941404436700906,1.3883654427947576,1.3227806403424656,956.5679931640625
16,14,0.5255992067979609,0.4645169684681415,0.5200023517043523,0.4592537280710191,1.317324720711997,1.3142965317479023,0.5198689326226732,0.4589582283830784,1.3236372407042776,1.3310708570167002,936.0806884765625
17,14,0.5238633121442192,0.46259102842777355,0.5172317486243087,0.45737734528765084,1.316767848527165,1.2788361034170896,0.5167733150169527,0.45561975167363195,1.3236599726512064,1.2920429039640442,903.0635986328125
18,18,0.523218494742629,0.4608873328533143,0.5164223813471921,0.4547745617198477,1.334000278775879,1.306337559273863,0.5160154954550685,0.4539736757311006,1.3386840272837641,1.31943343532345,894.8898315429688
19,18,0.523287461565773,0.4621382254889724,0.5162290327617696,0.4566034444512634,1.3142399620411376,1.2662187243318945,0.5162251184005523,0.4557971147175472,1.3209093948237212,1.280173047257674,870.0170288085938
20,18,0.5222635784523365,0.46127852283330817,0.517257845025515,0.45716522672621496,1.2422815399918312,1.2140293326087257,0.5166514506073758,0.45633247531177673,1.246138839824938,1.2252749235509306,855.064208984375
21,18,0.522704692041556,0.46230224900033084,0.5183198183918493,0.45829301532235533,1.285837570525898,1.257583296417253,0.5175627266709021,0.4576061293684381,1.2861076027205105,1.2620213709453871,834.2984619140625
22,18,0.5227543106653091,0.4620340452752091,0.516867422271448,0.45638472811414815,1.2875799424647258,1.2957264479096595,0.5165884539922029,0.45605577589340884,1.2911788719572503,1.3070684800272734,838.2940673828125
23,18,0.5230882323684047,0.46200825481543206,0.5182557794679633,0.4576102762957422,1.2801400558611573,1.260588466683363,0.5176941184115847,0.45699635038224096,1.281853730865189,1.26951606805723,836.134765625
24,18,0.5225077561653971,0.4629438523893856,0.5177851154272346,0.46009430242036364,1.2531164756427895,1.219855024986331,0.5176033787273243,0.4593900640267961,1.2558251196642465,1.2303919159034342,796.1785278320312
25,18,0.522008388778236,0.4635462148866001,0.5171680052320479,0.4603466826099017,1.258016761576891,1.2109069427468853,0.5168134219524056,0.4588034485375938,1.2616486995507832,1.2202136118285143,780.069580078125
26,18,0.5255515468649471,0.4650790714338996,0.5167140219538999,0.4565554747506525,1.406218115714002,1.404255055794472,0.5172132957923214,0.45710460380278456,1.4147131169332934,1.4199881800332184,769.167724609375
27,18,0.5211685842470046,0.4618810886014846,0.5156343443940715,0.4575643343204168,1.272902276421945,1.2379706525538419,0.5149163868627351,0.4562550969282663,1.2764906050870697,1.249377576381087,769.4229736328125
28,28,0.5207355351204758,0.4606693514251107,0.5141549552738487,0.45479070912192676,1.303241749239653,1.2948728677246808,0.513997931473779,0.4541537475799442,1.3066709338766755,1.3057505059773706,750.2101440429688
29,28,0.5205788842736496,0.4611010229198946,0.5126601816152646,0.4541071313064348,1.3648605728810417,1.3384737689967254,0.5128756467798992,0.4539651923412485,1.366818076055416,1.3475971826187898,774.0902709960938
30,28,0.5216341111151834,0.4614535981947392,0.5139975755754417,0.4546760929420335,1.3764407117649584,1.333632848954296,0.5138316694042409,0.45432931737346205,1.3818777629547412,1.3499098102267049,742.3612670898438
31,31,0.5203933889473661,0.46054109868399956,0.5129774958741372,0.4545636240730364,1.3578196890591203,1.3213542374180942,0.512895697898404,0.4536753567726461,1.3620166860442942,1.3344991630752774,731.0585327148438
32,31,0.5209754738525911,0.4605735297432543,0.5157824662239889,0.456508113634124,1.2866078823105807,1.249026173599724,0.5149876954141264,0.4551122977882297,1.2905520852256196,1.2601129360964518,729.0361328125
33,31,0.5203868808563161,0.4608507617173344,0.5129133085139829,0.4548017734904339,1.330500441574661,1.3077192790667094,0.5129175789812679,0.4541102204413746,1.336118323556379,1.31974490164113,730.7330322265625
34,31,0.5204246007175907,0.46102983709878337,0.5148270239519401,0.4564066170463395,1.300984716347251,1.2705119322169889,0.514625723329199,0.45552538618908117,1.3040924357439903,1.2806216267454396,714.7052001953125
35,31,0.5207211740281992,0.46100991720115536,0.5172351059037152,0.4582671042516849,1.2336559702105832,1.2215073253671898,0.5166333611193468,0.45683357826506193,1.235543314379057,1.228380410761244,710.861328125
36,36,0.5204519049163506,0.460001174467554,0.514636059666677,0.45521742779789875,1.2930897204005904,1.29076558091164,0.5142864302257618,0.4541860876002273,1.2967972073796052,1.3026752276390487,706.1867065429688
37,36,0.5206266737791367,0.46167831616124577,0.515190034431378,0.45608019459771365,1.3108527048895353,1.304153628485087,0.5142095485198804,0.4545524406718802,1.3156986360370297,1.3217274010941749,706.594482421875
38,36,0.5206371751724892,0.4608783043969954,0.5141438041613928,0.4554915037978142,1.3613660470822333,1.3181115634170117,0.5140974223345324,0.4545489213635912,1.3628333513227995,1.3249513548591858,712.1561279296875
39,36,0.5197697716741072,0.4600319128424494,0.5151217055730599,0.4557731913938118,1.255187535256074,1.2476090016461512,0.5146089662548406,0.4550226964627693,1.2546291623842083,1.2529397757301286,729.26904296875
40,36,0.5208863195125389,0.46147541012319765,0.5143520053784336,0.455701879478272,1.3599729365244138,1.3638536786467832,0.5141179223597813,0.4542685118306468,1.3631089637043958,1.3730824898082161,698.7415771484375
41,36,0.5231342956417341,0.46568449010340274,0.5157411916576556,0.4582066397939725,1.368027001020655,1.3672042874204884,0.5154751559338191,0.4576293461302202,1.375904643727473,1.382337054891725,717.2349243164062
42,36,0.5206771409282362,0.46074887480015086,0.5137479255598741,0.4540193403386191,1.3490971744669704,1.3470240940277822,0.5133183289560121,0.4532915310152504,1.3541030685674866,1.359931439656662,704.5625
43,36,0.5197719923783409,0.46047399267832684,0.5148673768437879,0.4553471411216076,1.2908678739339867,1.3010027372964554,0.5143975930574866,0.4549930627360477,1.2918905148739757,1.3116319932944995,680.9322509765625
44,36,0.5194211497645541,0.4600668942370745,0.5141862545044424,0.45560361849495223,1.310416049613143,1.2836007483302587,0.5136808940041069,0.4551913564067851,1.3126158174848708,1.2929888100772156,671.9083251953125
45,45,0.5177656632575693,0.4591054565366466,0.511153761321826,0.453567833518601,1.3286484992788408,1.3319984857545442,0.5110512269702333,0.4528783494864615,1.3335404097485404,1.3434009512987446,666.476806640625
46,45,0.5183325288471919,0.45963597092227887,0.5117190734853796,0.4543293605851015,1.3373771404638386,1.3091411313020205,0.511253807461336,0.4538351150267733,1.338114282092151,1.3137287014370311,666.1646118164062
47,45,0.518558881817724,0.46053933767049127,0.5101386110754241,0.4528869478347114,1.4379670386279475,1.419019978050411,0.5100122194693578,0.4523374588430243,1.441241617648469,1.4296608511864901,668.8389892578125
48,45,0.5185978384246122,0.46047415867430574,0.5113734034843638,0.4534944788556541,1.352531900592421,1.356880641846816,0.5114108956461856,0.45331760274428495,1.355949800273202,1.3664760443832806,663.3697509765625
