epoch,best_val_epoch,train_loss,val_loss,train_recon_loss_post,val_recon_loss_post,train_kl_post_prior,val_kl_post_prior,train_recon_loss_encoded,val_recon_loss_encoded,train_kl_encoded_prior,val_kl_encoded_prior,l2_penalty
1,1,1.3859805668621021,1.505109611175043,1.3710645593069737,1.4873403310775757,1.7096654145546208,1.9274253587928607,1.3697999245720491,1.4863612385962506,1.7705229121701995,1.9951519743144084,2856.724609375
2,2,1.3616465615810651,1.4826292305541553,1.3473502937744906,1.4659375629836706,1.7299248370556357,1.9091362121293871,1.3466757610386146,1.4655547853854063,1.7608843936206815,1.9467426178266676,2854.176025390625
3,3,1.355618187544912,1.478112472904672,1.3443927207370556,1.4649652336998809,1.6550230283882623,1.7933430397253243,1.3435364772897747,1.4634999619971076,1.6871344393028587,1.8318960289303348,2851.789306640625
4,4,1.345093055228522,1.4695847686246144,1.3335988489544384,1.4563395762615066,1.655568943996748,1.7793045567093992,1.332342108263862,1.4558686704086743,1.6787290714232057,1.805513838212267,2849.47021484375
5,5,1.3425156148170854,1.4663572937464542,1.3324255198781354,1.4552218107868442,1.567671593238066,1.6599311305464601,1.3320189563796931,1.4540216090867846,1.5895756283097278,1.6853030353998966,2846.7333984375
6,6,1.3377693845642245,1.464395960457891,1.328152238413659,1.4555853965471117,1.5441130827368388,1.6228477225886833,1.3278693985748569,1.4548718474751754,1.55911794977943,1.640016102104736,2843.903076171875
7,7,1.3340659896446123,1.4596794629268508,1.3241552597557018,1.4498736360947864,1.5545890085404561,1.6297379234711902,1.323542159626946,1.4499663972168517,1.5679214294180113,1.6451765736229986,2841.08544921875
8,8,1.332835464003126,1.4589351081162047,1.324915573834161,1.44997531818829,1.5075168439938524,1.5601107825478204,1.3238357157489054,1.4502053355141509,1.5180357197704053,1.5726020078864886,2837.760986328125
9,8,1.330292018756714,1.458954286232269,1.3224261661500454,1.4527735452857806,1.4868644009315197,1.5364928236968225,1.3217312755494681,1.4526008436148115,1.499747767081361,1.550942030742014,2834.43701171875
10,10,1.3290526415008346,1.4584108891246987,1.320596902112469,1.4514830884315986,1.4886484984132633,1.5334548384165592,1.3202033574458214,1.4508031366540373,1.5007659930116297,1.5471595482860538,2830.93896484375
