epoch,best_val_epoch,train_loss,val_loss,train_recon_loss_post,val_recon_loss_post,train_kl_post_prior,val_kl_post_prior,train_recon_loss_encoded,val_recon_loss_encoded,train_kl_encoded_prior,val_kl_encoded_prior,l2_penalty
1,1,1.1139016363253316,1.2302663714282376,1.1067534416683285,1.2226950455025918,1.3253919965863479,1.3767064652797307,1.1074686423311093,1.222020335053904,1.331672942025992,1.3855283987039906,2726.22412109375
2,2,1.100565900314366,1.2226075826673606,1.0983356421971975,1.221248130583023,1.0997045411768303,1.1027291237130439,1.0980981061946835,1.2210439633111962,1.0955794522831088,1.1014733720476182,2608.185546875
3,2,1.1015495927211352,1.2293610455063526,1.1002275790235343,1.2280257188926187,1.00362224838081,1.0095290668371817,1.1021202826147596,1.228666681337222,1.0085054917456313,1.0304700172631558,2498.024658203125
4,4,1.0918481780306544,1.2153850115366063,1.0879891905291328,1.2126309312074002,1.1486294514523854,1.1327577990848616,1.0876863193209956,1.2119786136013544,1.146772366858636,1.1328306662397125,2392.199462890625
5,4,1.0927889495983163,1.2172921032470458,1.0885213862666776,1.2134699341494972,1.1470895960329286,1.1631260890503146,1.0894193913968493,1.2128101604117163,1.1544843263646232,1.185586404262123,2296.88525390625
6,6,1.0865020631149904,1.2128142253027026,1.0841769865497077,1.2118033614791124,1.1006348405733317,1.1348828815225152,1.0836252464449465,1.2099699822665382,1.0975046280317957,1.1412492585653196,2205.55224609375
7,7,1.0850123974070593,1.2115490260487554,1.0822811393902219,1.2096612348045142,1.0384424068322071,1.104812003146447,1.0830370640771478,1.2103160228352443,1.0338081529994485,1.1105694780905966,2122.401611328125
8,8,1.084214272673578,1.2101786307086388,1.0794619203956088,1.206138624185004,1.1248184712649567,1.1737025618441017,1.079250073701374,1.2054649970493334,1.123488910092509,1.1838928677513143,2045.8038330078125
9,9,1.0830252422236122,1.209413366842584,1.0811354154268678,1.2073120134457707,1.033565709156356,1.0828381450470057,1.0813816471640112,1.208326379869305,1.0274775602463515,1.0882517790188795,1972.7430419921875
10,9,1.081228110296973,1.2097076900927166,1.0758528414534314,1.2054953900352472,1.1713525154152695,1.2342955863150582,1.0761070209938737,1.2052607785276053,1.171276169373568,1.2446903045291846,1905.18505859375
11,11,1.0813566868276683,1.2075397587001941,1.07733722340465,1.2046869875458424,1.1268356483138673,1.1687632589438897,1.0777416319850464,1.2037114528474782,1.1233495191987513,1.1769709855121817,1841.908447265625
12,11,1.0810463657939544,1.2081169445113202,1.0774614274459855,1.2070334577829571,1.0679331362708868,1.0997275405634381,1.077627302013091,1.2051727251409923,1.0687100648208876,1.1179343389096623,1782.487548828125
13,11,1.0821960732015734,1.2100927762455909,1.076925014417663,1.206339938844697,1.159122238941045,1.2237070197780964,1.0774543121782179,1.204368897798705,1.1622008913256265,1.238520275952114,1725.1407470703125
14,11,1.0811270727480407,1.2106354676208066,1.0791766009726715,1.2107068697237677,1.040377034594021,1.097615423565862,1.0795397253459311,1.2088101353156375,1.033924420478896,1.1069766860577932,1671.8402099609375
15,15,1.0777107576599094,1.2048280869355654,1.0737868650206204,1.2021882602435063,1.1147276928188263,1.1666402767429012,1.0734739514994505,1.2003533587854982,1.1120778625905723,1.1800282020559876,1623.921142578125
16,15,1.0780977723801497,1.20612918825948,1.075432565747475,1.203981957453551,1.0429311362812839,1.1165904952800172,1.0755924917626432,1.2044697277745546,1.0440763261517867,1.138971182723597,1577.952880859375
17,15,1.077641952172037,1.2065779957587386,1.0723634422622375,1.2015274825908056,1.141507811818133,1.236397921422239,1.0727176508124994,1.2016587276449768,1.1427783328491898,1.2533816036366114,1536.1041259765625
18,15,1.080174001105481,1.209325809357644,1.0763765793715792,1.206673092922846,1.1559197841438922,1.2217433880997064,1.0769536284642014,1.2055686934310539,1.1552977815301884,1.233320215571521,1496.990478515625
19,15,1.078026912230828,1.2083094935314003,1.0728938553972533,1.2038951207194144,1.169999618667855,1.2735346436836983,1.073495784374629,1.2033131197725728,1.173104111532524,1.2879749104759095,1467.6011962890625
20,20,1.076836215367542,1.2043245012538117,1.0713757720738544,1.1994116079773638,1.1606405897093524,1.231795781082627,1.0719337022531041,1.199761732052994,1.1615175611950996,1.2528627915754704,1428.3856201171875
21,20,1.0772292613563699,1.2072319588566993,1.073172419822862,1.204075197397485,1.1606550370195565,1.2162630278774846,1.0732942408948276,1.204423827488021,1.1592486083381701,1.2263541749817857,1395.0982666015625
22,20,1.0782837361034416,1.2116234522323392,1.074789488298804,1.20844582051235,1.1867933962900483,1.2816373078417127,1.07459126887902,1.2070106150177662,1.1849634059292593,1.2941845021826528,1364.292724609375
23,20,1.0759001344043884,1.2052842145356388,1.0714330741169584,1.201699471316692,1.1746199932172212,1.2483279300207029,1.0713986977567813,1.2010572989482646,1.1735908788832705,1.2609491552369054,1337.1776123046875
24,20,1.0762366228838525,1.2060177769172,1.0717867872481779,1.2017055369724334,1.1515740470765428,1.2435079701980778,1.0725818408953314,1.2012461130056085,1.1492696364608808,1.2605005473543311,1308.9178466796875
25,20,1.078383505050772,1.210913613845129,1.073302260215311,1.2066469808176565,1.17270831764793,1.2407397476996551,1.0733078752580787,1.2061180072579873,1.182042773553471,1.2685541039015589,1286.0274658203125
26,20,1.0755391041214075,1.2049732101714958,1.069736056978815,1.1999257482230832,1.207324968854111,1.2894761814671873,1.0697924803043235,1.199013325030918,1.2079203490385448,1.307006048012318,1262.755126953125
